Region,Sub Region,Country,Year,download,Indicator,Indicator Name,Numero di record,Value
Europe,Eastern Europe,Slovakia,2006,,7.1,Total detected victims,1,31
Europe,Northern Europe,Latvia,2006,,7.1,Total detected victims,1,13
Europe,Northern Europe,Lithuania,2006,,7.1,Total detected victims,1,27
Europe,Southern Europe,Greece,2006,,7.1,Total detected victims,1,83
Europe,Southern Europe,Italy,2006,,7.1,Total detected victims,1,178
Europe,Southern Europe,Malta,2006,,7.1,Total detected victims,1,1
Europe,Southern Europe,Slovenia,2006,,7.1,Total detected victims,1,44
Europe,Southern Europe,Spain,2006,,7.1,Total detected victims,1,2464
Europe,Western Europe,Germany,2006,,7.1,Total detected victims,1,775
Europe,Western Europe,Netherlands,2006,,7.1,Total detected victims,1,580
Europe,Eastern Europe,Hungary,2007,,7.1,Total detected victims,1,28
Europe,Eastern Europe,Poland,2007,,7.1,Total detected victims,1,859
Europe,Eastern Europe,Romania,2007,,7.1,Total detected victims,1,1780
Europe,Eastern Europe,Slovakia,2007,,7.1,Total detected victims,1,10
Europe,Northern Europe,Finland,2007,,7.1,Total detected victims,1,5
Europe,Northern Europe,Lithuania,2007,,7.1,Total detected victims,1,11
Europe,Southern Europe,Greece,2007,,7.1,Total detected victims,1,99
Europe,Southern Europe,Italy,2007,,7.1,Total detected victims,1,715
Europe,Southern Europe,Malta,2007,,7.1,Total detected victims,1,7
Europe,Southern Europe,Slovenia,2007,,7.1,Total detected victims,1,9
Europe,Southern Europe,Spain,2007,,7.1,Total detected victims,1,2521
Europe,Western Europe,Germany,2007,,7.1,Total detected victims,1,689
Europe,Western Europe,Netherlands,2007,,7.1,Total detected victims,1,716
Europe,Eastern Europe,Hungary,2008,,7.1,Total detected victims,1,10
Europe,Eastern Europe,Poland,2008,,7.1,Total detected victims,1,62
Europe,Eastern Europe,Romania,2008,,7.1,Total detected victims,1,1240
Europe,Eastern Europe,Slovakia,2008,,7.1,Total detected victims,1,17
Europe,Northern Europe,Estonia,2008,,7.1,Total detected victims,1,55
Europe,Northern Europe,Finland,2008,,7.1,Total detected victims,1,16
Europe,Northern Europe,Latvia,2008,,7.1,Total detected victims,1,8
Europe,Northern Europe,Lithuania,2008,,7.1,Total detected victims,1,25
Europe,Northern Europe,Sweden,2008,,7.1,Total detected victims,1,21
Europe,Southern Europe,Greece,2008,,7.1,Total detected victims,1,76
Europe,Southern Europe,Italy,2008,,7.1,Total detected victims,1,628
Europe,Southern Europe,Malta,2008,,7.1,Total detected victims,1,1
Europe,Southern Europe,Portugal,2008,,7.1,Total detected victims,1,42
Europe,Southern Europe,Slovenia,2008,,7.1,Total detected victims,1,68
Europe,Southern Europe,Spain,2008,,7.1,Total detected victims,1,3201
Europe,Western Europe,Germany,2008,,7.1,Total detected victims,1,692
Europe,Western Europe,Netherlands,2008,,7.1,Total detected victims,1,826
Europe,Eastern Europe,Hungary,2009,,7.1,Total detected victims,1,9
Europe,Eastern Europe,Poland,2009,,7.1,Total detected victims,1,19
Europe,Eastern Europe,Romania,2009,,7.1,Total detected victims,1,780
Europe,Eastern Europe,Slovakia,2009,,7.1,Total detected victims,1,25
Europe,Northern Europe,Estonia,2009,,7.1,Total detected victims,1,78
Europe,Northern Europe,Finland,2009,,7.1,Total detected victims,1,17
Europe,Northern Europe,Ireland,2009,,7.1,Total detected victims,1,66
Europe,Northern Europe,Latvia,2009,,7.1,Total detected victims,1,12
Europe,Northern Europe,Lithuania,2009,,7.1,Total detected victims,1,14
Europe,Northern Europe,Sweden,2009,,7.1,Total detected victims,1,44
Europe,Northern Europe,United Kingdom,2009,,7.1,Total detected victims,1,549
Europe,Southern Europe,Greece,2009,,7.1,Total detected victims,1,121
Europe,Southern Europe,Italy,2009,,7.1,Total detected victims,1,381
Europe,Southern Europe,Portugal,2009,,7.1,Total detected victims,1,17
Europe,Southern Europe,Slovenia,2009,,7.1,Total detected victims,1,28
Europe,Southern Europe,Spain,2009,,7.1,Total detected victims,1,443
Europe,Western Europe,Germany,2009,,7.1,Total detected victims,1,733
Europe,Western Europe,Netherlands,2009,,7.1,Total detected victims,1,909
Europe,Eastern Europe,Hungary,2010,,7.1,Total detected victims,1,59
Europe,Eastern Europe,Romania,2010,,7.1,Total detected victims,1,1154
Europe,Eastern Europe,Slovakia,2010,,7.1,Total detected victims,1,28
Europe,Northern Europe,Estonia,2010,,7.1,Total detected victims,1,57
Europe,Northern Europe,Finland,2010,,7.1,Total detected victims,1,48
Europe,Northern Europe,Ireland,2010,,7.1,Total detected victims,1,78
Europe,Northern Europe,Latvia,2010,,7.1,Total detected victims,1,9
Europe,Northern Europe,Lithuania,2010,,7.1,Total detected victims,1,15
Europe,Northern Europe,Sweden,2010,,7.1,Total detected victims,1,14
Europe,Northern Europe,United Kingdom,2010,,7.1,Total detected victims,1,297
Europe,Southern Europe,Greece,2010,,7.1,Total detected victims,1,92
Europe,Southern Europe,Italy,2010,,7.1,Total detected victims,1,96
Europe,Southern Europe,Portugal,2010,,7.1,Total detected victims,1,18
Europe,Southern Europe,Slovenia,2010,,7.1,Total detected victims,1,33
Europe,Western Europe,Germany,2010,,7.1,Total detected victims,1,651
Europe,Western Europe,Netherlands,2010,,7.1,Total detected victims,1,993
Europe,Eastern Europe,Hungary,2011,,7.1,Total detected victims,1,134
Europe,Eastern Europe,Romania,2011,,7.1,Total detected victims,1,1048
Europe,Eastern Europe,Slovakia,2011,,7.1,Total detected victims,1,31
